sample_id,task,draft,k,regime,seed,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,alpha,B_eff,stopped_eos,output_text,gpu_stream_pipeline,gpu_stable_step_shapes,gpu_graph_capture
gsm8k_2,gsm8k,0.6B_gridB,4,deterministic,42,9.2662,159.98,35.71,256,27.63,316,177,79,0.5601,2.24,False,"  (B) $10,000,00,000 (B) $20,0000,0000,00,000 (B) $10,000,000 (B) $20,0000,0000,00000,000 (B) $10,000,000 (B) $10,000,000 (B) $2000,000 (B) $20,0000,0000,000 (B) $20,0000,0000,000 (B) $10,000,000 (B) $2000,0000,000 (B) $2000,0000,000 (B) $10,000,000 (B) $10,000,000 (B) $10,000,000 (B) $2",False,True,captured
gsm8k_11,gsm8k,0.6B_gridB,4,deterministic,42,11.3606,145.39,43.98,256,22.53,391,159,98,0.4066,1.62,False," 

Okay, let's see.>

To calculate the total cost step-by>
Okay, let's see the total cost in the box >

To calculate the total cost step-by>
Okay, let's calculate the total cost in the box > 

Okay, let's see the total cost in the box > 

Okay, let's see the total cost is the total cost of don'the total cost in the box > 

Okay, let's total cost is the total cost in the box > 

Okay, let's total cost is the total cost of the total cost in the box >.
Okay, let's see the total cost in the box > 

Okay, let's total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost in dollars>
Okay, let's see the total cost is the total cost in the box > 

Okay, let's total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost is the total cost of the total cost of the total cost of the total cost of the total cost of the total cost is the total cost of the total cost is the total cost",False,True,captured
gsm8k_15,gsm8k,0.6B_gridB,4,deterministic,42,12.8298,144.61,49.75,256,19.95,442,145,111,0.3281,1.31,False," (selling price minus the difference between the selling price minus the cost of the amount of the difference between the selling price minus the cost of the purchase price after the purchase price after the purchase, the difference between the selling price after increase in the contextually calculated as the difference between the selling price minus the cost of the purchase price after increase in the context of the amount of money earned by selling price after the purchase price minus the cost of the difference between the selling price minus the cost of the difference between the selling price and the merchant's total revenue minus the cost of the purchase price after increase minus the cost of the difference between the selling price after increase in the context of the problem is the value of the item price after increase in the context of the problem is the value of the item price ×1.20. (selling price - (selling price minus the cost of the difference between the selling price and the merchant's total revenue minus cost price after increase minus price after increase minus the cost of the purchase price after increase minus price after increase minus price after increase minus price after increase minus price before tax-free. (selling price - cost price after the difference between the selling price and the merchant's total revenue minus the cost of the difference between the selling price after increase in value",False,True,captured
gsm8k_21,gsm8k,0.6B_gridB,4,deterministic,42,10.3304,142.01,39.95,256,24.78,356,168,89,0.4719,1.89,False," Let's solve this problem step by step, step by step, step by step, and see step by step, step by step, using the information given. 

First, we need to find out how old is step by step, step by step, and make sure to find the current age of Raymond and see step by step, and see step by step, and see step by step. 

First, we need to find out step by step, step by step, and see step by step. 

First, we need to find the problem step by step, step by step, using the information given. First, we need to find the problem step by step, step by step, using the information given. First, we need to find the problem step by step. 

First, we need to find out how old is step by step. First, we need to find the problem step by step, step by step, step by step, step by step, using the information given. First, we need to find the problem step by step. 

First, we need to find out how old is step by step. First, we need to find the problem step by step. 

First, we need to find the problem step by step, step by step,",False,True,captured
gsm8k_22,gsm8k,0.6B_gridB,4,deterministic,42,15.9087,145.03,61.82,256,16.09,555,117,139,0.2108,0.84,False," 

Okay, let's see.>

To determine the number >
To determine the total number of DVDs sold DVDs sold DVDs sold DVDs sold > 

Okay, let's see the number >
To determine the total number of DVDs sold > 

Okay, let's see the number >
To determine how many DVDs did not sure > 

Okay, let's see the number >
To determine how many DVDs did Billy sell.>

To determine the total number of DVDs sold > 

Okay, let's see the steps here put your answer here put your answer here > 

Okay, let's see the number >
To determine how many DVDs did not sure yet to be careful calculation here put your answer here > 

Okay, let's>
Okay, let's think>
Okay, let's see the steps here put your answer here > 

Okay, let's see the number >
To determine how many DVDs did not sure yet, 1111>
Okay, let's see the number >
To determine how many DVDs did Billy sold DVDs sold DVDs sold > 

Okay, let's>
Okay, let's see the number >
To determine how many DVDs Billy sold 13>
Okay, let's see the number of the number >
To determine how many DVDs Billy sold 13 >

",False,True,captured
gsm8k_32,gsm8k,0.6B_gridB,4,deterministic,42,11.3141,144.16,43.8,256,22.63,392,158,98,0.4031,1.61,False," 

First, I need to find out how many hours per day. Let me think about how many hours a day that each dog's find out how many hours a day he spends  to find out how many hours a way to calculate the total time per day.  to find out how many hours per day. Let me think. So, each dog takes  to find out how many hours a way to calculate the total time per day for each dog's find out how many hours a way to calculate the total hours per day.  to find out how many hours per day.  to find out how many hours a day that he spends  to find out how many hours a day that each dog's find out how many hours per day.  Each dog takes 0. Let me think. So, to find out how many hours per day.  Each dog takes 0. Let me think. So, to find out how many hours a day that each dog's find out how many hours per day.  Each dog hours per day.  Each dog takes 0. Let me think. So, to find out how many hours per day.  Each dog hours per day.  There are 10 dogs.  to find out how many hours",False,True,captured
gsm8k_34,gsm8k,0.6B_gridB,4,deterministic,42,11.8136,143.32,45.77,256,21.67,407,154,103,0.3784,1.5,False," Let's solve this step by step.

Step 1: Find the problem together.

Step 1 by step.

Step 1: Find the problem together.

Okay, let's see. First, find the problem together.

Step 1: Find the problem together.

Okay, let's see step.

Step 1: Find out.

Step 1: Find out.

Step 1: Find the problem step.

Step 1: Find out.

Step 1: Find the problem step by step.

First, find the problem step.

Step 1: Find out.

Step 1: Find the problem step by step and step.

Okay, let's solve this step.

Step 1: Find the problem step.

Step 1: Find the problem step by step and step.

Okay, let's solve this step by step.

First, find the problem step by step.

First, find out how?

Okay, let's see step.

Step 1: Find the problem step by step and step.

Okay, let's solve this step by step.

Step 1: 

Step 1: Find out.

Step 1: Find the problem step by step and step.

Okay, let's solve this step by step.

Step 1: Find the problem",False,True,captured
gsm8k_35,gsm8k,0.6B_gridB,4,deterministic,42,13.754,142.71,53.38,256,18.61,478,137,120,0.2866,1.14,False," 

Okay, let's see.>

To determine the total points scored 56>
Okay, let's see the total points >
To determine the total points scored 5
Okay, let's see the total points >
To determine the total number >
To determine the total number >
To determine the total number of the total points >
To determine the total number >
To determine the total number >
To determine the total number >
To determine the total number of the total points Mike plays ping pong for 4>
Okay, let's see the total points >
To determine the total number >
To determine the total number >
To determine the total number >
Okay, let's see the total points >
To determine the total number >
To determine the total number of the total points Mike scored 5
Okay, let's see the total points >
To solve the total points >
To determine the total number >
To determine the total number of the total points Mike scored is the total points >
To determine the total number of the total points Mike scored is the total points Mike plays ping pong for 56>
Okay, let's see the total points Mike scored is the total points Mike plays ping pong for 5
Okay, let's see the total points Mike scored 5
Okay,",False,True,captured
gsm8k_44,gsm8k,0.6B_gridB,4,deterministic,42,11.2725,144.11,43.64,256,22.71,389,159,98,0.4087,1.62,False,"  (Note: 1 (Note: 1 is not  pound of the wick is not a valid candle is not a valid unit of the wick is not a valid unit for the answer is not  pound of the wick is included in the question is not a valid unit for the answer is  pound of beeswax candle is  pound of beeswax is not a valid unit for the answer is 20,  pound of beeswax is not a valid unit of beeswax candle is  pound of beeswax is not a valid unit for the answer is 2000 grams = 100 grams = 1000 grams is not a valid unit of beeswax candle is not a valid unit of beeswax candle is  pound of beeswax is not a valid unit of beeswax candle is  pound of beeswax is not a valid unit for the answer is 20,  pound of beeswax is  pound of beeswax is not a valid unit for the answer is 20,  pound of beeswax is  pound of beeswax is  pound of beeswax is  pound of beeswax is  pound of bees",False,True,captured
gsm8k_48,gsm8k,0.6B_gridB,4,deterministic,42,12.223,141.24,47.38,256,20.94,424,150,106,0.3538,1.42,False," 

Okay, let's see. 

Okay, let's see, 24>
Okay, let's see the number >
Okay, let's see the number >
Okay, let's see the number of the number >
Okay, let's see the number >
Okay, let's see the number >
Okay, let's see the number of pieces > 

Okay, let's see the number >
Okay, let's see the number of pieces > 

Okay, let's see the number of pieces > 

Okay, let's

Okay, let's see the number of pieces > 

Okay, let's

Okay, let's see the number of pieces >.
Okay, let's see the number >
Okay, let's see, 24>
Okay, let's see the number of pieces > 

Okay, let's

Okay, let's see the number of pieces >.
Okay, let's see the number >
Okay, let's see the number of pieces > 

Okay, let's

Okay, let's see the number of pieces > 

Okay, let's

Okay, let's see the number of pieces > 

Okay, let's

Okay, let's see the number of pieces >.
Okay, let's see the number of pieces >",False,True,captured
